id_cliente;id_empresa;cargo;departamento;e-mail
s/i;;;;
1;5;Especialista;Segurança do Trabalho;cliente1@empresa5.com
2;215;Analista;Recursos Humanos;cliente2@empresa215.com
3;7;Gerente;Recursos Humanos;cliente3@empresa7.com
4;8;Analista;Recursos Humanos;cliente4@empresa8.com
5;142;Analista;Recursos Humanos;cliente5@empresa142.com
6;579;Farmacêutico (a) Responsável;Assuntos Regulatórios;cliente6@empresa579.com
7;9;Gerente;Jurídico;cliente7@empresa9.com
8;10;Diretor (a) / Vice Presidente;Recursos Humanos;cliente8@empresa10.com
9;11;Médico (a);Médico;cliente9@empresa11.com
10;12;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente10@empresa12.com
11;13;Gerente;Segurança do Trabalho;cliente11@empresa13.com
12;16;Coordenador (a) / Supervisor (a);Administrativo;cliente12@empresa16.com
13;18;Analista;Recursos Humanos;cliente13@empresa18.com
14;33;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente14@empresa33.com
15;23;Gerente;Médico;cliente15@empresa23.com
16;26;Diretor (a) / Vice Presidente;Recursos Humanos;cliente16@empresa26.com
17;29;Analista;Recursos Humanos;cliente17@empresa29.com
18;30;Gerente;Jurídico;cliente18@empresa30.com
19;658;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente19@empresa658.com
20;34;Coordenador (a) / Supervisor (a);Médico;cliente20@empresa34.com
21;610;Assistente / Assessor (a) / Auxiliar;Recursos Humanos;cliente21@empresa610.com
22;44;Coordenador (a) / Supervisor (a);Segurança do Trabalho;cliente22@empresa44.com
23;47;Gerente;Treinamento de Força de Vendas;cliente23@empresa47.com
24;48;Coordenador (a) / Supervisor (a);Administrativo;cliente24@empresa48.com
25;769;Coordenador (a) / Supervisor (a);Garantia / Controle de Qualidade;cliente25@empresa769.com
26;52;Gerente;Segurança do Trabalho;cliente26@empresa52.com
27;54;Analista;Recursos Humanos;cliente27@empresa54.com
28;56;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente28@empresa56.com
29;57;Analista;Compras / Suprimentos;cliente29@empresa57.com
30;862;Diretor (a) / Vice Presidente;Assuntos Regulatórios;cliente30@empresa862.com
31;60;Gerente;Médico;cliente31@empresa60.com
32;62;Técnico;Segurança do Trabalho;cliente32@empresa62.com
33;715;Analista;Recursos Humanos;cliente33@empresa715.com
34;749;Gerente;Garantia / Controle de Qualidade;cliente34@empresa749.com
35;882;Analista;Recursos Humanos;cliente35@empresa882.com
36;65;Gerente;Recursos Humanos;cliente36@empresa65.com
37;67;Especialista;Segurança do Trabalho;cliente37@empresa67.com
38;68;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente38@empresa68.com
39;69;Técnico;Recursos Humanos;cliente39@empresa69.com
40;73;Gerente;Jurídico;cliente40@empresa73.com
41;77;Analista;Recursos Humanos;cliente41@empresa77.com
42;79;Diretor (a) / Vice Presidente;Recursos Humanos;cliente42@empresa79.com
43;80;Gerente;Recursos Humanos;cliente43@empresa80.com
44;661;Analista;Recursos Humanos;cliente44@empresa661.com
45;83;Gerente;Assuntos Regulatórios;cliente45@empresa83.com
46;85;Médico (a);Recursos Humanos;cliente46@empresa85.com
47;426;Coordenador (a) / Supervisor (a);Segurança do Trabalho;cliente47@empresa426.com
48;1043;Presidente;Presidência;cliente48@empresa1043.com
49;100;Coordenador (a) / Supervisor (a);Médico;cliente49@empresa100.com
50;59;Analista;Recursos Humanos;cliente50@empresa59.com
51;457;Analista;Recursos Humanos;cliente51@empresa457.com
52;106;Médico (a);Médico;cliente52@empresa106.com
53;108;Especialista;Recursos Humanos;cliente53@empresa108.com
54;123;Médico (a);Médico;cliente54@empresa123.com
55;110;Gerente;Recursos Humanos;cliente55@empresa110.com
56;737;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente56@empresa737.com
57;114;Gerente;Recursos Humanos;cliente57@empresa114.com
58;501;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente58@empresa501.com
59;107;Gerente;Treinamento de Força de Vendas;cliente59@empresa107.com
60;96;Gerente;Segurança do Trabalho;cliente60@empresa96.com
61;541;Advogado (a);Jurídico;cliente61@empresa541.com
62;118;Técnico;Segurança do Trabalho;cliente62@empresa118.com
63;121;Gerente;Segurança do Trabalho;cliente63@empresa121.com
